[1/10000]: param_kd=01, param_n=01, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[5973/10000]: param_kd=06, param_n=06, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[5974/10000]: param_kd=07, param_n=04, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[5975/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[5976/10000]: param_kd=07, param_n=07, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[5977/10000]: param_kd=06, param_n=09, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[5978/10000]: param_kd=07, param_n=02, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[5979/10000]: param_kd=08, param_n=04, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[5980/10000]: param_kd=06, param_n=06, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[5981/10000]: param_kd=07, param_n=04, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[5982/10000]: param_kd=07, param_n=01, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[5983/10000]: param_kd=08, param_n=03, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[5984/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[5985/10000]: param_kd=07, param_n=05, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[5986/10000]: param_kd=06, param_n=08, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[5987/10000]: param_kd=07, param_n=07, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[5988/10000]: param_kd=06, param_n=06, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[5989/10000]: param_kd=07, param_n=04, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[5990/10000]: param_kd=08, param_n=03, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[5991/10000]: param_kd=06, param_n=05, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[5992/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[5993/10000]: param_kd=06, param_n=02, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[5994/10000]: param_kd=07, param_n=08, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[5995/10000]: param_kd=07, param_n=07, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[5996/10000]: param_kd=07, param_n=04, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[5997/10000]: param_kd=07, param_n=10, param_alpha=04, param_delta=0.800 -> accuracy=0.4
[5998/10000]: param_kd=06, param_n=06, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[5999/10000]: param_kd=06, param_n=08, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[6000/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[6001/10000]: param_kd=08, param_n=03, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[6002/10000]: param_kd=06, param_n=03, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[6003/10000]: param_kd=07, param_n=04, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[6004/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[6005/10000]: param_kd=07, param_n=07, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[6006/10000]: param_kd=06, param_n=09, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[6007/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[6008/10000]: param_kd=07, param_n=02, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[6009/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[6010/10000]: param_kd=08, param_n=03, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[6011/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[6012/10000]: param_kd=06, param_n=08, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[6013/10000]: param_kd=07, param_n=05, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[6014/10000]: param_kd=06, param_n=02, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[6015/10000]: param_kd=08, param_n=04, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[6016/10000]: param_kd=06, param_n=05, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[6017/10000]: param_kd=07, param_n=10, param_alpha=04, param_delta=0.900 -> accuracy=0.4
[6018/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[6019/10000]: param_kd=07, param_n=02, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[6020/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[6021/10000]: param_kd=07, param_n=08, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[6022/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.000 -> accuracy=0.4
[6023/10000]: param_kd=06, param_n=03, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[6024/10000]: param_kd=07, param_n=07, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[6025/10000]: param_kd=06, param_n=09, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[6026/10000]: param_kd=06, param_n=08, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[6027/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[6028/10000]: param_kd=08, param_n=03, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[6029/10000]: param_kd=06, param_n=02, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[6030/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.100 -> accuracy=0.4
[6031/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[6032/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.100 -> accuracy=1.0
[6033/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.100 -> accuracy=1.0
[6034/10000]: param_kd=08, param_n=04, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[6035/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[6036/10000]: param_kd=07, param_n=05, param_alpha=08, param_delta=0.800 -> accuracy=0.4
[6037/10000]: param_kd=06, param_n=05, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[6038/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.200 -> accuracy=0.4
[6039/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[6040/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.100 -> accuracy=0.4
[6041/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[6042/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[6043/10000]: param_kd=06, param_n=03, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[6044/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.300 -> accuracy=0.4
[6045/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.200 -> accuracy=0.4
[6046/10000]: param_kd=06, param_n=08, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[6047/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[6048/10000]: param_kd=06, param_n=02, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[6049/10000]: param_kd=07, param_n=07, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[6050/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[6051/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[6052/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.400 -> accuracy=0.4
[6053/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.300 -> accuracy=0.4
[6054/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[6055/10000]: param_kd=08, param_n=04, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[6056/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[6057/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.200 -> accuracy=1.0
[6058/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[6059/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[6060/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.500 -> accuracy=0.4
[6061/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.200 -> accuracy=1.0
[6062/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[6063/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[6064/10000]: param_kd=07, param_n=05, param_alpha=08, param_delta=0.900 -> accuracy=0.4
[6065/10000]: param_kd=06, param_n=03, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[6066/10000]: param_kd=06, param_n=08, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[6067/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.600 -> accuracy=0.4
[6068/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[6069/10000]: param_kd=06, param_n=02, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[6070/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[6071/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[6072/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[6073/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[6074/10000]: param_kd=08, param_n=02, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[6075/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[6076/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.700 -> accuracy=0.4
[6077/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[6078/10000]: param_kd=08, param_n=04, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[6079/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[6080/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[6081/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[6082/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[6083/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[6084/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[6085/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.800 -> accuracy=0.4
[6086/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.300 -> accuracy=1.0
[6087/10000]: param_kd=06, param_n=02, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[6088/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.000 -> accuracy=0.4
[6089/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[6090/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[6091/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.000 -> accuracy=0.4
[6092/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.300 -> accuracy=1.0
[6093/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[6094/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[6095/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[6096/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[6097/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[6098/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[6099/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[6100/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[6101/10000]: param_kd=07, param_n=02, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[6102/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[6103/10000]: param_kd=07, param_n=10, param_alpha=05, param_delta=0.900 -> accuracy=0.4
[6104/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[6105/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[6106/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[6107/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[6108/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[6109/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[6110/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[6111/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[6112/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[6113/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[6114/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[6115/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[6116/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[6117/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[6118/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[6119/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.100 -> accuracy=0.4
[6120/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[6121/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.500 -> accuracy=0.4
[6122/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.100 -> accuracy=1.0
[6123/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[6124/10000]: param_kd=07, param_n=10, param_alpha=06, param_delta=0.000 -> accuracy=0.4
[6125/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[6126/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[6127/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.600 -> accuracy=0.4
[6128/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[6129/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[6130/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[6131/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[6132/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.700 -> accuracy=0.4
[6133/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[6134/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[6135/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[6136/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[6137/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[6138/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[6139/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[6140/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.800 -> accuracy=0.4
[6141/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[6142/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[6143/10000]: param_kd=08, param_n=04, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[6144/10000]: param_kd=07, param_n=10, param_alpha=06, param_delta=0.100 -> accuracy=0.4
[6145/10000]: param_kd=06, param_n=02, param_alpha=07, param_delta=0.900 -> accuracy=0.4
[6146/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[6147/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.000 -> accuracy=0.4
[6148/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[6149/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[6150/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[6151/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[6152/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.200 -> accuracy=1.0
[6153/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.100 -> accuracy=0.4
[6154/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.200 -> accuracy=0.4
[6155/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[6156/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[6157/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[6158/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[6159/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[6160/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[6161/10000]: param_kd=07, param_n=08, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[6162/10000]: param_kd=07, param_n=10, param_alpha=06, param_delta=0.200 -> accuracy=0.4
[6163/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[6164/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[6165/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[6166/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[6167/10000]: param_kd=07, param_n=03, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[6168/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[6169/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[6170/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.200 -> accuracy=0.4
[6171/10000]: param_kd=07, param_n=01, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[6172/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[6173/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[6174/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[6175/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[6176/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.300 -> accuracy=1.0
[6177/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.300 -> accuracy=0.4
[6178/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[6179/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[6180/10000]: param_kd=07, param_n=03, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[6181/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.500 -> accuracy=0.4
[6182/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[6183/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.300 -> accuracy=0.4
[6184/10000]: param_kd=07, param_n=01, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[6185/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.300 -> accuracy=0.4
[6186/10000]: param_kd=07, param_n=10, param_alpha=06, param_delta=0.300 -> accuracy=0.4
[6187/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[6188/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[6189/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[6190/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[6191/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.400 -> accuracy=0.4
[6192/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.700 -> accuracy=0.4
[6193/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[6194/10000]: param_kd=07, param_n=03, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[6195/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.500 -> accuracy=0.4
[6196/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[6197/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.400 -> accuracy=0.4
[6198/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.600 -> accuracy=0.4
[6199/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.400 -> accuracy=0.4
[6200/10000]: param_kd=07, param_n=01, param_alpha=07, param_delta=0.100 -> accuracy=0.4
[6201/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[6202/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.600 -> accuracy=0.4
[6203/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[6204/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.400 -> accuracy=0.4
[6205/10000]: param_kd=07, param_n=04, param_alpha=06, param_delta=0.900 -> accuracy=0.4
[6206/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.700 -> accuracy=0.4
[6207/10000]: param_kd=07, param_n=03, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[6208/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[6209/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.500 -> accuracy=0.4
[6210/10000]: param_kd=07, param_n=10, param_alpha=06, param_delta=0.400 -> accuracy=0.4
[6211/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[6212/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.800 -> accuracy=0.4
[6213/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.700 -> accuracy=0.4
[6214/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.800 -> accuracy=0.4
[6215/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.600 -> accuracy=0.4
[6216/10000]: param_kd=07, param_n=01, param_alpha=07, param_delta=0.200 -> accuracy=0.4
[6217/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.500 -> accuracy=0.4
[6218/10000]: param_kd=06, param_n=04, param_alpha=01, param_delta=0.900 -> accuracy=0.4
[6219/10000]: param_kd=07, param_n=08, param_alpha=10, param_delta=0.900 -> accuracy=0.4
[6220/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.500 -> accuracy=0.4
[6221/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.700 -> accuracy=0.4
[6222/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.500 -> accuracy=0.4
[6223/10000]: param_kd=07, param_n=03, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[6224/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.600 -> accuracy=0.4
[6225/10000]: param_kd=06, param_n=04, param_alpha=02, param_delta=0.000 -> accuracy=0.4
[6226/10000]: param_kd=07, param_n=04, param_alpha=07, param_delta=0.000 -> accuracy=0.4
[6227/10000]: param_kd=07, param_n=09, param_alpha=01, param_delta=0.000 -> accuracy=0.4
[6228/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.800 -> accuracy=0.4
[6229/10000]: param_kd=07, param_n=01, param_alpha=07, param_delta=0.300 -> accuracy=0.4
[6230/10000]: param_kd=06, param_n=04, param_alpha=02, param_delta=0.100 -> accuracy=0.4
[6231/10000]: param_kd=07, param_n=09, param_alpha=01, param_delta=0.100 -> accuracy=0.4
[6232/10000]: param_kd=06, param_n=06, param_alpha=09, param_delta=0.900 -> accuracy=0.4
[6233/10000]: param_kd=06, param_n=09, param_alpha=08, param_delta=0.700 -> accuracy=0.4
[6234/10000]: param_kd=07, param_n=07, param_alpha=06, param_delta=0.700 -> accuracy=0.4
[6235/10000]: param_kd=08, param_n=03, param_alpha=06, param_delta=0.800 -> accuracy=0.4
[6236/10000]: param_kd=06, param_n=04, param_alpha=02, param_delta=0.200 -> accuracy=0.4
[6237/10000]: param_kd=07, param_n=10, param_alpha=06, param_delta=0.500 -> accuracy=0.4
[6238/10000]: param_kd=06, param_n=06, param_alpha=10, param_delta=0.000 -> accuracy=0.4
[6239/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.700 -> accuracy=0.4
[6240/10000]: param_kd=06, param_n=05, param_alpha=03, param_delta=0.800 -> accuracy=0.4
[6241/10000]: param_kd=07, param_n=09, param_alpha=01, param_delta=0.200 -> accuracy=0.4
[6242/10000]: param_kd=07, param_n=03, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[6243/10000]: param_kd=06, param_n=02, param_alpha=08, param_delta=0.600 -> accuracy=0.4
[6244/10000]: param_kd=06, param_n=04, param_alpha=02, param_delta=0.300 -> accuracy=0.4
[6245/10000]: param_kd=07, param_n=05, param_alpha=09, param_delta=0.600 -> accuracy=0.4
[6246/10000]: param_kd=06, param_n=06, param_alpha=10, param_delta=0.100 -> accuracy=0.4
[6247/10000]: param_kd=08, param_n=02, param_alpha=02, param_delta=0.900 -> accuracy=0.4
[6248/10000]: param_kd=06, param_n=08, param_alpha=03, param_delta=0.600 -> accuracy=0.4
[6249/10000]: param_kd=07, param_n=01, param_alpha=07, param_delta=0.400 -> accuracy=0.4
[6250/10000]: param_kd=07, param_n=09, param_alpha=01, param_delta=0.300 -> accuracy=0.4
[6251/10000]: param_kd=06, param_n=04, param_alpha=02, param_delta=0.400 -> accuracy=0.4
[6252/10000]: param_kd=07, param_n=04, param_alpha=07, param_delta=0.100 -> accuracy=1.0
[6253/10000]: param_kd=06, param_n=06, param_alpha=10, param_delta=0.200 -> accuracy=0.4
[6254/10000]: param_kd=08, param_n=05, param_alpha=01, param_delta=0.800 -> accuracy=0.4
[6255/10000]: param_kd=07, param_n=09, param_alpha=01, param_delta=0.400 -> accuracy=0.4
[6256/10000]: param_kd=06, param_n=04, param_alpha=02, param_delta=0.500 -> accuracy=0.4
